응답ID,응답일시,연령대,성별,직업,지역,이용빈도,결제수단,평균_예약금액,서비스_만족도,가격_만족도,앱_사용성,검색_만족도,예약_편의성,고객센터_만족도,재이용_의향,추천_의향,주요_불만사항,개선_희망사항,선호_숙소유형
1,2024-11-01 14:23,20대,여성,대학생,서울,월 1-2회,카드,89000,4,3,4,3,4,5,4,4,가격이 비쌈,학생 할인 추가,호스텔
2,2024-11-01 15:47,30대,남성,IT 회사원,경기,월 3-4회,간편결제,156000,5,4,5,5,5,5,5,5,없음,지도 기능 강화,호텔
3,2024-11-02 09:15,20대,여성,프리랜서,부산,월 2-3회,카드,125000,3,3,3,2,3,4,3,3,검색 속도 느림,검색 성능 개선,게스트하우스
4,2024-11-02 11:30,40대,남성,자영업,대구,월 1회,카드,198000,4,4,4,4,4,4,4,4,없음,리뷰 시스템 개선,호텔
5,2024-11-03 08:45,30대,남성,금융 회사원,서울,월 4-5회,법인카드,245000,2,2,3,2,3,3,2,2,리뷰 신뢰도 낮음,실사용자 리뷰 확대,비즈니스 호텔
6,2024-11-03 16:20,20대,여성,대학생,대전,월 2회,간편결제,75000,4,3,4,4,4,3,4,3,할인 부족,할인 쿠폰 확대,호스텔
7,2024-11-04 10:15,30대,여성,공무원,세종,월 1회,카드,132000,5,5,5,5,5,5,5,5,없음,현 상태 유지,펜션
8,2024-11-04 13:42,20대,남성,대학생,서울,월 1-2회,간편결제,68000,3,2,3,3,4,4,3,2,UI가 구식,앱 디자인 개선,게스트하우스
9,2024-11-05 09:30,40대,남성,제조업 회사원,인천,월 2회,카드,178000,4,4,4,4,4,4,4,4,없음,결제 수단 다양화,호텔
10,2024-11-05 14:55,30대,여성,UX 디자이너,서울,월 3회,간편결제,142000,3,3,4,2,3,3,3,3,필터 사용 불편,필터 UI 개선,부티크 호텔
11,2024-11-06 11:20,20대,남성,스타트업 개발자,판교,월 4-5회,간편결제,198000,4,4,5,4,5,5,4,4,없음,API 성능 개선,호텔
12,2024-11-06 15:30,30대,여성,마케터,강남,월 2-3회,카드,165000,2,3,3,2,3,3,2,2,검색 속도 느림,검색 최적화,펜션
13,2024-11-07 10:05,40대,남성,임원,서울,월 1회,법인카드,387000,5,4,4,4,5,5,5,4,없음,VIP 프로그램 신설,럭셔리 호텔
14,2024-11-07 13:18,20대,여성,대학생,광주,월 1회,카드,56000,3,2,3,3,3,3,3,2,가격이 비쌈,학생 인증 할인,호스텔
15,2024-11-08 09:40,30대,남성,프리랜서,제주,월 5-6회,간편결제,210000,4,4,4,4,4,4,4,4,없음,장기 숙박 할인,워케이션 숙소
16,2024-11-08 16:25,20대,여성,IT 회사원,판교,월 3회,간편결제,134000,5,5,5,5,5,5,5,5,매우 만족,현 상태 유지,호텔
17,2024-11-09 10:50,30대,남성,공무원,대전,월 1회,카드,145000,4,4,4,4,4,4,4,4,없음,취소 정책 명확화,호텔
18,2024-11-09 14:10,40대,남성,자영업,부산,월 2회,카드,167000,3,3,3,3,4,4,3,3,지도 기능 없음,지도 뷰 추가,펜션
19,2024-11-10 08:30,20대,여성,대학생,서울,월 1-2회,간편결제,72000,2,2,2,2,3,3,2,2,가격이 비쌈,첫 예약 할인,게스트하우스
20,2024-11-10 11:45,30대,남성,외국계 회사원,서울,월 4회,법인카드,234000,4,4,4,4,4,4,4,4,없음,영문 인터페이스 개선,비즈니스 호텔
21,2024-11-11 09:15,30대,여성,광고 회사원,서울,월 2회,간편결제,156000,5,5,5,5,5,5,5,5,없음,포인트 제도 도입,부티크 호텔
22,2024-11-11 13:20,20대,남성,프리랜서,강릉,월 3-4회,카드,98000,3,3,4,3,3,3,3,3,리뷰 부족,리뷰 작성 보상,게스트하우스
23,2024-11-12 10:30,40대,여성,교육업 회사원,서울,월 1회,카드,189000,4,4,4,4,5,5,4,4,없음,가족 여행 패키지,패밀리 호텔
24,2024-11-12 15:10,30대,남성,스타트업 대표,판교,월 2-3회,법인카드,198000,3,3,3,2,3,3,3,3,검색 속도 느림,성능 최적화,호텔
25,2024-11-13 08:50,20대,여성,대학생,인천,월 1회,간편결제,65000,4,3,4,4,4,4,4,3,할인 부족,쿠폰 이벤트 확대,호스텔
26,2024-11-13 12:40,30대,여성,기획자,서울,월 3회,간편결제,145000,5,4,5,5,4,5,5,5,없음,위시리스트 기능,펜션
27,2024-11-14 09:25,40대,남성,임원,서울,월 1-2회,법인카드,456000,4,5,4,4,5,5,4,4,없음,라운지 서비스,럭셔리 호텔
28,2024-11-14 14:55,20대,남성,대학생,수원,월 1회,카드,58000,3,2,3,3,3,3,3,2,가격이 비쌈,대학생 할인,게스트하우스
29,2024-11-15 10:10,30대,여성,프리랜서,경주,월 4회,간편결제,178000,4,4,4,4,4,4,4,4,없음,월정액 서비스,워케이션 숙소
30,2024-11-15 13:30,20대,여성,디자이너,서울,월 2회,간편결제,112000,2,2,3,2,3,3,2,2,앱 속도 느림,모바일 앱 개선,부티크 호텔
31,2024-11-16 08:45,30대,남성,공무원,세종,월 1회,카드,134000,5,5,5,5,5,5,5,5,없음,현 상태 만족,호텔
32,2024-11-16 15:20,40대,남성,건설업 자영업,대구,월 2회,카드,187000,4,3,4,4,4,4,4,4,없음,출장 전용 할인,비즈니스 호텔
33,2024-11-17 09:50,20대,여성,대학생,부산,월 1-2회,간편결제,69000,3,3,3,3,4,4,3,3,할인 부족,친구 초대 이벤트,게스트하우스
34,2024-11-17 12:15,30대,남성,IT 회사원,판교,월 3회,간편결제,167000,4,4,4,4,4,4,4,4,없음,빠른 체크인 서비스,호텔
35,2024-11-18 10:40,40대,여성,임원,서울,월 1회,법인카드,398000,5,5,5,5,5,5,5,5,매우 만족,VIP 라운지 확대,럭셔리 호텔
36,2024-11-18 14:25,20대,남성,프리랜서,제주,월 4-5회,카드,156000,3,2,3,3,3,3,3,2,리뷰 신뢰도 낮음,인증 리뷰 시스템,워케이션 숙소
37,2024-11-19 09:30,30대,여성,마케터,서울,월 2회,간편결제,145000,4,4,5,4,4,4,4,4,없음,SNS 공유 기능,부티크 호텔
38,2024-11-19 13:10,20대,남성,대학생,대전,월 1회,카드,62000,2,2,2,2,3,3,2,2,UI가 구식,모던한 디자인,호스텔
39,2024-11-20 08:50,40대,남성,제조업 회사원,울산,월 2회,법인카드,198000,4,4,4,4,5,5,4,4,없음,출장 영수증 자동 발급,비즈니스 호텔
40,2024-11-20 15:35,30대,남성,프리랜서,강릉,월 3회,간편결제,134000,3,3,4,3,3,3,3,3,필터 사용 불편,스마트 필터,펜션
41,2024-11-21 10:20,20대,여성,스타트업 기획자,판교,월 4회,간편결제,178000,5,4,5,5,5,5,5,5,없음,AI 추천 시스템,호텔
42,2024-11-21 14:40,30대,남성,공무원,서울,월 1회,카드,145000,4,4,4,4,4,4,4,4,없음,환불 프로세스 개선,호텔
43,2024-11-22 09:15,40대,남성,식당 자영업,부산,월 1-2회,카드,156000,3,3,3,3,4,4,3,3,지도 기능 없음,주변 맛집 정보,펜션
44,2024-11-22 12:50,20대,여성,대학생,광주,월 1회,간편결제,58000,4,3,4,4,4,3,4,3,가격이 비쌈,그룹 예약 할인,게스트하우스
45,2024-11-23 10:05,30대,여성,외국계 회사원,서울,월 3회,법인카드,234000,5,5,5,5,5,5,5,5,매우 만족,멤버십 포인트 적립,호텔
46,2024-11-23 15:25,40대,남성,금융업 임원,서울,월 1회,법인카드,512000,4,4,4,4,5,5,4,4,없음,컨시어지 서비스,럭셔리 호텔
47,2024-11-24 08:40,20대,남성,프리랜서,제주,월 5회,카드,189000,3,3,3,2,3,3,3,3,검색 속도 느림,실시간 재고 확인,워케이션 숙소
48,2024-11-24 13:15,30대,남성,개발자,판교,월 2회,간편결제,167000,4,4,4,4,4,4,4,4,없음,체크인 시간 선택,호텔
49,2024-11-25 09:55,20대,여성,대학생,인천,월 1-2회,카드,64000,2,2,3,2,3,3,2,2,가격이 비쌈,시즌오프 특가,호스텔
50,2024-11-25 14:30,30대,남성,IT 회사원,서울,월 3-4회,간편결제,178000,5,5,5,5,5,5,5,5,없음,충성 고객 리워드,호텔
